"announcement","size","date","time","pdf"
"Job Advert - Manager Legal & Compliance.pdf","0.80MB","2023/04/20","11:31:17","https://www.use.or.ug/uploads/announcements/Job%20Advert%20-%20Manager%20Legal%20&%20Compliance.pdf"
"BAT Uganda Post AGM Announcement.pdf","0.63MB","2022/06/16","09:23:16","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20Post%20AGM%20Announcement.pdf"
"MTN Post AGM 2023.pdf","0.06MB","2023/05/22","10:20:13","https://www.use.or.ug/uploads/announcements/MTN%20Post%20AGM%202023.pdf"
"LISTED COMPANIES (LOCAL ISSUERS) AGM TIMETABLE 2022.pdf","0.08MB","2022/05/18","09:48:16","https://www.use.or.ug/uploads/announcements/LISTED%20COMPANIES%20(LOCAL%20ISSUERS)%20AGM%20TIMETABLE%202022.pdf"
"Umeme FY 2020 Results.pdf","9.54MB","2021/03/26","11:39:49","https://www.use.or.ug/uploads/announcements/Umeme%20FY%202020%20Results.pdf"
"CRESETED CAPITAL 2021 FINANCIALS.pdf","0.08MB","2022/05/10","09:12:27","https://www.use.or.ug/uploads/announcements/CRESETED%20CAPITAL%202021%20FINANCIALS.pdf"
"BARODA 2021 FINANCIALS.pdf","0.50MB","2022/04/29","10:03:45","https://www.use.or.ug/uploads/announcements/BARODA%202021%20FINANCIALS.pdf"
"Letter - CMA - Notification of Appointment of Mr Angus Clarke as Director Kenya Airways.pdf","0.31MB","2022/04/04","05:38:02","https://www.use.or.ug/uploads/announcements/Letter%20-%20CMA%20-%20Notification%20of%20Appointment%20of%20Mr%20Angus%20Clarke%20as%20Director%20Kenya%20Airways.pdf"
"EABL FY23 Press Ad.pdf","0.61MB","2023/07/27","06:56:00","https://www.use.or.ug/uploads/announcements/EABL%20FY23%20Press%20Ad.pdf"
"New Vision Half Year December 2022 07.03.2023.pdf","0.47MB","2023/03/13","09:18:38","https://www.use.or.ug/uploads/announcements/New%20Vision%20Half%20Year%20December%202022%2007.03.2023.pdf"
"EABL - 2023 AGM Voting Results - 14 September 2023.pdf","0.45MB","2023/09/15","09:55:14","https://www.use.or.ug/uploads/announcements/EABL%20-%202023%20AGM%20Voting%20Results%20-%2014%20September%202023.pdf"
"BATU2015AnnualReport.pdf","3.90MB","2016/04/29","05:12:22","https://www.use.or.ug/uploads/announcements/BATU2015AnnualReport.pdf"
"Centum Results Fullyear 2023 FINAL.pdf","2.52MB","2023/07/29","07:43:16","https://www.use.or.ug/uploads/announcements/Centum%20Results%20Fullyear%202023%20FINAL.pdf"
"NIC Post AGM Notice - 21st AGM.pdf","0.12MB","2022/07/18","03:04:33","https://www.use.or.ug/uploads/announcements/NIC%20Post%20AGM%20Notice%20-%2021st%20AGM.pdf"
"KCB Announcement of Andrew Wambari Kairu as Non-Executive Director.pdf","2.62MB","2018/08/02","03:23:17","https://www.use.or.ug/uploads/announcements/KCB%20Announcement%20of%20Andrew%20Wambari%20Kairu%20as%20Non-Executive%20Director.pdf"
"STANBIC UGANDA  FY2021 PUBLICATION Monitor (1).pdf","10.09MB","2022/03/30","10:06:33","https://www.use.or.ug/uploads/announcements/STANBIC%20UGANDA%20%20FY2021%20PUBLICATION_Monitor%20(1).pdf"
"DFCU Bank Pillar 3 Market Discipline Disclosures - June 2023.pdf","0.26MB","2023/08/04","03:26:00","https://www.use.or.ug/uploads/announcements/DFCU%20Bank%20Pillar%203%20Market%20Discipline%20Disclosures%20-%20June%202023.pdf"
"CiplaQCi Cautionary Announcement (1).pdf","0.49MB","2023/03/15","09:55:35","https://www.use.or.ug/uploads/announcements/CiplaQCi%20Cautionary%20Announcement%20(1).pdf"
"CiplaQCI Cautionary Statement.pdf","0.45MB","2021/05/05","10:14:08","https://www.use.or.ug/uploads/announcements/CiplaQCI%20Cautionary%20Statement.pdf"
"EQUITY GROUP HOLDINGS PLC 17TH AGM RESOLUTIONS (1).PDF","0.85MB","2021/07/06","11:37:01","https://www.use.or.ug/uploads/announcements/EQUITY%20GROUP%20HOLDINGS%20PLC%2017TH%20AGM%20RESOLUTIONS%20(1).PDF"
"CHANGE IN DIRECTORS NOTICE-DFCU.pdf","0.27MB","2022/04/07","05:41:34","https://www.use.or.ug/uploads/announcements/CHANGE%20IN%20DIRECTORS%20NOTICE-DFCU.pdf"
"EGH Plc - Financials December 2020.pdf","0.36MB","2021/03/31","09:40:05","https://www.use.or.ug/uploads/announcements/EGH%20Plc%20-%20Financials%20December%202020.pdf"
"BAT Uganda - Proposed amended Memorandum and Articles of Association.pdf","0.32MB","2021/05/05","09:21:31","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20-%20Proposed%20amended%20Memorandum%20and%20Articles%20of%20Association.pdf"
"DFCU 2022 FINANCIAL STATEMENTS.pdf","1.94MB","2023/03/31","10:44:35","https://www.use.or.ug/uploads/announcements/DFCU%202022%20FINANCIAL%20STATEMENTS.pdf"
"UCL Financials Results Half Year 2023.pdf","0.11MB","2023/09/07","04:26:44","https://www.use.or.ug/uploads/announcements/UCL%20Financials%20Results%20Half%20Year%202023.pdf"
"CIPLA Interim Results.pdf","0.56MB","2020/11/16","10:21:12","https://www.use.or.ug/uploads/announcements/CIPLA%20Interim%20Results.pdf"
"BAT Uganda - 2021 AGM Proxy Form.pdf","0.11MB","2021/05/04","03:21:51","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20-%202021%20AGM%20Proxy%20Form.pdf"
